id,title,thumbnail,price,brand,gtin,brand_std,gtin_std,title_std,title_std_lemma,price_std,cluster
MCO568427831,Contador Manual Digital  Con Pantalla Lcd De 5 Dígitos,http://http2.mlstatic.com/D_814089-MCO51119006913_082022-I.jpg,8900,Genérica,,generico,[],contador manual digital pantalla lcd 5 dígitos,contador manual digital pantalla lcd 5 dígito,8900.0,81
MCO836714850,Planta Cerca Electrica Para Ganado 100km M. Jr,http://http2.mlstatic.com/D_811857-MCO74838880017_032024-I.jpg,163400,JR CERCA ELECTRICA,,jr cerca eléctrica,[],planta cerca electrica ganado 100km m jr,plantar cerca electrico ganado 100 km m jr,163400.0,81
MCO1238597096,Flotador Para Bebedero,http://http2.mlstatic.com/D_603551-MCO78804268144_092024-I.jpg,21900,Luxury,7707314156920,luxury,['7707314156920'],flotador bebedero,flotador bebedero,21900.0,81
MCO1352669369,Kit De Portillo Para Cerca Eléctrica; Dos Líneas  Luxury.,http://http2.mlstatic.com/D_748078-MCO79021221966_092024-I.jpg,31500,Luxury,7707314156920,luxury,['7707314156920'],kit portillo cerca eléctrica dos líneas luxury,kit portillo cerca eléctrico dos línea luxury,31500.0,81
MCO449720089,Kit Pro Herramientas Reparación Celulares Electronica iPhone,http://http2.mlstatic.com/D_746938-MCO75789376686_042024-I.jpg,29900,Sumsour,,sumsour,[],kit pro herramientas reparación celulares electronica iphone,kit pro herramienta reparación celular electronico iphonir,29900.0,81
MCO484103527,100 Bolsas Silica Gel Desiccant No Humedad Deshumidificador,http://http2.mlstatic.com/D_844297-MCO77743674347_072024-I.jpg,27455,AMERICAN GENERICS INC.,,american generics inc.,[],100 bolsas silica gel desiccant no humedad deshumidificador,100 bolsa silico gel desiccant no humedad deshumidificador,27455.0,81
MCO652869300,Planta Cerca Electrica 200km M. Jr Chasis En Lámina,http://http2.mlstatic.com/D_912217-MCO74707048772_032024-I.jpg,237500,JR CERCA ELÉCTRICA,,jr cerca eléctrica,[],planta cerca electrica 200km m jr chasis lámina,plantar cerca electrico 200 km m jr chasis lámín,237500.0,81
MCO980241763,Interruptor Pulsador De Lujo Luz Azul 16 Mm Metálico 110volt,http://http2.mlstatic.com/D_848457-MCO79029869983_092024-I.jpg,12900,Luxury,7707314156920,luxury,['7707314156920'],interruptor pulsador lujo luz azul 16 mm metálico 110volt,interruptor pulsador lujo luz azul 16 mm metálico 110volt,12900.0,14
MCO1446127035,Cuchilla Doble Tiro Para Protección De Cerca Eléctrica X1und,http://http2.mlstatic.com/D_736222-MCO78764424036_092024-I.jpg,21000,Luxury,7707314156920,luxury,['7707314156920'],cuchilla doble tiro protección cerca eléctrica x1und,cuchilla doble tiro protección cerca eléctrico x1und,21000.0,81
MCO2729257588,Medidor Voltaje Bateria Carro Tester Cargador Usb Vehicular ,http://http2.mlstatic.com/D_767723-MCO31354240709_072019-I.jpg,23000,H&Co,,h&co,[],medidor voltaje bateria carro tester cargador usb vehicular,medidor voltaje baterio carro tester cargador usb vehicular,23000.0,81
MCO560288833,Correa Amarre Zuncho Plastico  70cms Largo 9m.m Ancho  50lbs,http://http2.mlstatic.com/D_898408-MCO40810588786_022020-I.jpg,67999,ALP,7707015376719,alp,['7707015376719'],correa amarre zuncho plastico 70cms largo 9m m ancho 50lbs,correa amarre zuncho plastico 70cms largo 9 m m ancho 50lbs,67999.0,81
MCO573174852,Caja Plástica Grande Para Proyectos,http://http2.mlstatic.com/D_846234-MCO32588787160_102019-I.jpg,24000,Inti,7707314156920,inti,['7707314156920'],caja plástica grande proyectos,cajar plástico grande proyecto,24000.0,81
MCO575616237,Alambre Para Resistencias Calibre 35  0.15mm Ferroniquel,http://http2.mlstatic.com/D_977158-MCO73969366437_012024-I.jpg,35000,RL,,rl,[],alambre resistencias calibre 35 0 15mm ferroniquel,alambre resistencia calibre 35 0 15 mm ferroniquel,35000.0,81
MCO819211401,"Soporte Adhesivo Multi Uso Routers, Decos, Controles",http://http2.mlstatic.com/D_930585-MCO73110417506_122023-I.jpg,9900,Estilos Myf,,estilos myf,[],soporte adhesivo multi uso routers decos controles,soporte adhesivo multi uso router deco control,9900.0,81
MCO934764817,Aislador Para Cerca Pera Inicio Fin Ec  X 25 Unds Amarillo,http://http2.mlstatic.com/D_917987-MCO45216767518_032021-I.jpg,21000,Luxury,7707314156920,luxury,['7707314156920'],aislador cerca pera inicio fin ec x 25 unds amarillo,aislador cerca pera inicio fin ec x 25 unds amarillo,21000.0,81
MCO509619101,Varilla Plástica Alma De Acero Cerca Eléctrica 1.35m Lv.,http://http2.mlstatic.com/D_655561-MCO81010440408_122024-I.jpg,42000,Luxury,7707314156920,luxury,['7707314156920'],varilla plástica alma acero cerca eléctrica 1 35m lv,varilla plástico alma acero cerca eléctrico 1 35 m lv,42000.0,81
MCO538394604,Batería 3.7v 1000mah Litio Lipo Con Conexión Usb Para Cargar,http://http2.mlstatic.com/D_604080-MCO43766573136_102020-I.jpg,46500,Litio,,litio,[],batería 3 7v 1000mah litio lipo conexión usb cargar,bateer 3 7v 1000mah litio lipo conexión usb cargar,46500.0,81
MCO551365349,Aislador Cerca Eléctrica Pivote Puntilla X 600 Unidades,http://http2.mlstatic.com/D_914820-MCO53501537634_012023-I.jpg,97000,Luxury,7707314156920,luxury,['7707314156920'],aislador cerca eléctrica pivote puntilla x 600 unidades,aislador cerca eléctrico pivote puntilla x 600 unidad,97000.0,81
MCO585110868,Temporizador Digital Timer Programable Retie 110v,http://http2.mlstatic.com/D_957439-MCO74393551370_022024-I.jpg,60900,EXCELLITE ORIGINAL,0716132009445,excellite original,['0716132009445'],temporizador digital timer programable retie 110v,temporizador digital timer programable retie 110v,60900.0,81
MCO601890314,Hilo - Cordón Electro Plástico Cerca Eléctrica 200m 3mm,http://http2.mlstatic.com/D_784979-MCO78849105499_082024-O.jpg,73900,Luxury,,luxury,[],hilo cordón electro plástico cerca eléctrica 200m 3mm,helar cordón electro plástico cerca eléctrico 200 m 3 mm,73900.0,81
MCO602669497,Interruptor Pulsador De Lujo Luz Azul 16mm Metálico 110vac,http://http2.mlstatic.com/D_891067-MCO79029759191_092024-I.jpg,12900,Luxury,7707314156920,luxury,['7707314156920'],interruptor pulsador lujo luz azul 16mm metálico 110vac,interruptor pulsador lujo luz azul 16 mm metálico 110vac,12900.0,81
MCO644901149,Mini Valvula Solenoide 12v Agua Aire 2 Posiciones 3 Vias,http://http2.mlstatic.com/D_856740-MCO77568108167_072024-I.jpg,22000,sensoresnorte,,sensoresnorte,[],mini valvula solenoide 12v agua aire 2 posiciones 3 vias,mini valvula solenoidir 12v agua aire 2 posición 3 via,22000.0,81
MCO1486004681,Aislador Para Cerca Eléctrica Poste Varilla Uv X 150 Pcs,http://http2.mlstatic.com/D_672494-MCO78708517837_082024-O.jpg,114450,Luxury,,luxury,[],aislador cerca eléctrica poste varilla uv x 150 pcs,aislador cerca eléctrico poste varilla uv x 150 pcs,114450.0,81
MCO2758954322,Tensor Metálico Para Cerca Eléctrica De 500 Metros X 10 Unid,http://http2.mlstatic.com/D_934787-MCO54053249220_022023-I.jpg,47000,Luxury,,luxury,[],tensor metálico cerca eléctrica 500 metros x 10 unid,tensor metálico cerca eléctrico 500 metro x 10 unid,47000.0,81
MCO563751191,Caiman Para Conexión Eléctrica De Uso General,http://http2.mlstatic.com/D_678754-MCO75849381657_042024-I.jpg,7000,,,,[],caiman conexión eléctrica uso general,caimar conexión eléctrico uso general,7000.0,81
MCO568910152,Aislador Para Cerca Eléctrica Poste Varilla Uv X 100 Unds,http://http2.mlstatic.com/D_710310-MCO72181726108_102023-I.jpg,80000,Luxury,7707314156920,luxury,['7707314156920'],aislador cerca eléctrica poste varilla uv x 100 unds,aislador cerca eléctrico poste varilla uv x 100 unds,80000.0,81
MCO857275502,Audífonos Qkz Ak6 Ares Monitoreo Profesionales Conector 3.5m,http://http2.mlstatic.com/D_756714-MCO79432659476_092024-I.jpg,35571,QKZ MOONARK,,qkz moonark,[],audífonos qkz ak6 ares monitoreo profesionales conector 3 5m,audífono qkz ak6 ar monitoreo profesional conector 3 5 m,35571.0,81
MCO867206950,Aislador Para Cerca Eléctrica Pivote - Puntilla  X 100 Pcs,http://http2.mlstatic.com/D_700578-MCO40490764511_012020-O.jpg,19000,Inti,,inti,[],aislador cerca eléctrica pivote puntilla x 100 pcs,aislador cerca eléctrico pivote puntilla x 100 pcs,19000.0,81
MCO888968256,Panel Solar Policristalino 20w 12v,http://http2.mlstatic.com/D_831267-MCO42392999280_062020-I.jpg,101900,Restarsolar,,restarsolar,[],panel solar policristalino 20w 12v,panel solar policristalino 20w 12v,101900.0,81
MCO963164881,Termohigrometro Htc-1 Con Certificado De Calibración ,http://http2.mlstatic.com/D_826254-MCO45675442765_042021-I.jpg,115920,Made in China,,made in china,[],termohigrometro htc 1 certificado calibración,termohigrometro htc 1 certificado calibración,115920.0,81
MCO1366219899,Tensor Metálico Para Cerca Eléctrica De 500 Metros X20pcs,http://http2.mlstatic.com/D_755474-MCO71306747767_082023-I.jpg,81700,Luxury,7707314156920,luxury,['7707314156920'],tensor metálico cerca eléctrica 500 metros x20pcs,tensor metálico cerca eléctrico 500 metro x20pcs,81700.0,81
MCO1388124959,"Monedas Velcro Adhesivo Al Dorso 1cm, Pack X 180 Pares ",http://http2.mlstatic.com/D_993487-MCO81904987068_012025-O.jpg,22500,,,,[],monedas velcro adhesivo al dorso 1cm pack x 180 pares,moneda velcro adhesivo al dorso 1 cm pack x 180 par,22500.0,81
MCO468130158,Tensor Para Cerca Eléctrica De 500 Metros X 30 Unds,http://http2.mlstatic.com/D_672858-MCO53813746834_022023-I.jpg,119900,RaveStore,,ravestore,[],tensor cerca eléctrica 500 metros x 30 unds,tensor cerca eléctrico 500 metro x 30 unds,119900.0,-1
MCO534338485,Caja Misteriosa Sorpresa Master Tecnología Electronica,http://http2.mlstatic.com/D_978355-MCO72445770808_102023-I.jpg,149000,Caja Misteriosa Tecnologia,6980886733015,caja misteriosa tecnologia,['6980886733015'],caja misteriosa sorpresa master tecnología electronica,cajar misterioso sorpresa master tecnología electronico,149000.0,81
MCO545543121,Alambre Para Resistencias Calibre 24  0.5 Mm Ferroniquel,http://http2.mlstatic.com/D_758007-MCO73968749303_012024-I.jpg,35000,RL,,rl,[],alambre resistencias calibre 24 0 5 mm ferroniquel,alambre resistencia calibre 24 0 5 mm ferroniquel,35000.0,81
MCO580638526,Kit De Portillo Para Cerca Eléctrica; Dos Líneas,http://http2.mlstatic.com/D_838420-MCO54052204226_022023-I.jpg,32000,Luxury,,luxury,[],kit portillo cerca eléctrica dos líneas,kit portillo cerca eléctrico dos línea,32000.0,81
MCO854843329,Desviador De Rayos Para Cerca Eléctrica 2 Electrodos X 1 Pc,http://http2.mlstatic.com/D_965615-MCO77709905144_072024-I.jpg,23900,INT,,int,[],desviador rayos cerca eléctrica 2 electrodos x 1 pc,desviador rayo cerca eléctrico 2 electrodo x 1 pc,23900.0,81
MCO1076789840,"Video Balun Rj 45 5mp, Video Y Corriente Marca Wg",http://http2.mlstatic.com/D_626322-MCO46013365370_052021-I.jpg,9500,Wgingenieria,,wgingenieria,[],video balun rj 45 5mp video corriente marca wg,video balun rj 45 5mp video corriente marcar wg,9500.0,81
MCO1228594597,Fuente Centralizada De 18 Canales 12 V 30 Amperios ,http://http2.mlstatic.com/D_602922-MCO46143512834_052021-I.jpg,125000,Wgingenieria,,wgingenieria,[],fuente centralizada 18 canales 12 v 30 amperios,fuente centralizado 18 canal 12 v 30 amperio,125000.0,81
MCO1377621777,Cnc Maquina Láser Lente 20mm Co2 Longitud Focal 50.8mm Cn,http://http2.mlstatic.com/D_998099-MCO32343728988_092019-I.jpg,78900,Cnc Láser Maquina,,cnc laser maquina,[],cnc maquina láser lente 20mm co2 longitud focal 50 8mm cn,cnc maquín láser lente 20 mm co2 longitud focal 50 8 mm cn,78900.0,20
MCO1714801764,Alambre 14 Galvanizado 5kilos 200metros Diámetro 2.1mm ,http://http2.mlstatic.com/D_627260-MCO31546123443_072019-I.jpg,68500,Inti Solar,7702004003508,inti solar,['7702004003508'],alambre 14 galvanizado 5kilos 200metros diámetro 2 1mm,alambre 14 galvanizado 5kilos 200metros diámetrir 2 1 mm,68500.0,81
MCO1843567400,Extension Taller Roseta Lampara De Trabajo Mecanica 10 Mts,http://http2.mlstatic.com/D_946149-MCO46974477622_082021-I.jpg,33900,Genérica,,generico,[],extension taller roseta lampara trabajo mecanica 10 mts,extension taller rosetir lampar trabajo mecanico 10 mts,33900.0,81
MCO2636210832,Temporizador Timer Digital Mini Modelo Tue-11 ,http://http2.mlstatic.com/D_911843-MCO75646745761_042024-I.jpg,38800,Excelite,043619768121,excelite,['043619768121'],temporizador timer digital mini modelo tue 11,temporizador timer digital mini modelo tue 11,38800.0,81
MCO513459813,Metro De Tela Para Bafles,http://http2.mlstatic.com/D_613651-MCO51823382517_102022-I.jpg,14800,Genérica,,generico,[],metro tela bafles,metro telar bafl,14800.0,81
MCO516503313,Aislador Para Cerca Eléctrica Manigueta X 10 Unds,http://http2.mlstatic.com/D_719552-MCO79350882977_092024-I.jpg,51900,Luxury,7707314156920,luxury,['7707314156920'],aislador cerca eléctrica manigueta x 10 unds,aislador cerca eléctrico manigueta x 10 unds,51900.0,81
MCO517742655,Caja Misteriosa De Tecnología Sorpresa Variada,http://http2.mlstatic.com/D_994647-MCO77197861984_072024-I.jpg,148900,Special,8428728125003,special,['8428728125003'],caja misteriosa tecnología sorpresa variada,cajar misterioso tecnología sorprés variado,148900.0,81
MCO526224238,Impulsor Cerca Electrica Para Ganado 100km M. Jr,http://http2.mlstatic.com/D_621695-MCO74838849219_032024-I.jpg,162690,JR CERCA ELECTRICA,,jr cerca eléctrica,[],impulsor cerca electrica ganado 100km m jr,impulsor cerca electrico ganado 100 km m jr,162690.0,81
MCO545637906,Máscara Pasta Resina Uv Reballing Pcb 10cc,http://http2.mlstatic.com/D_951891-MLA51744935663_092022-I.jpg,24900,mechanic - relife,,mechanic - relife,[],máscara pasta resina uv reballing pcb 10cc,máscara pasta resín uv reballing pcb 10cc,24900.0,81
MCO580603117,Cajas Para Impulsadores O Cercas Electricas ,http://http2.mlstatic.com/D_973276-MCO42870614085_072020-I.jpg,20000,Stark Electronica,,stark electronica,[],cajas impulsadores cercas electricas,caja impulsador cerca electrica,20000.0,81
MCO586208241,Pegamento B7000 Táctiles Cristales Lcd 110 Ml 100% Original,http://http2.mlstatic.com/D_617172-MCO48235720212_112021-I.jpg,16900,Zhanlida,,zhanlida,[],pegamento b7000 táctiles cristales lcd 110 ml 100 original,pegamento b7000 táctil cristal lcd 110 ml 100 original,16900.0,-1
MCO593327228,Impulsor Cerca Eléctrica Para Mascotas M. Jr,http://http2.mlstatic.com/D_986122-MCO54003675902_022023-I.jpg,150000,JR CERCA ELECTRICA,,jr cerca eléctrica,[],impulsor cerca eléctrica mascotas m jr,impulsor cerca eléctrico mascota m jr,150000.0,81
MCO828579382,Aislador Para Cerca Pera Inicio Fin Ec  X 50 Pcs Amarillo,http://http2.mlstatic.com/D_917987-MCO45216767518_032021-I.jpg,40000,Luxury,7707314156920,luxury,['7707314156920'],aislador cerca pera inicio fin ec x 50 pcs amarillo,aislador cerca pera inicio fin ec x 50 pcs amarillo,40000.0,81
MCO837685915,"Kit Cerca Eléctrica 100km Mixta, 120vac / Batería, Panel 10w",http://http2.mlstatic.com/D_764886-MCO47848752512_102021-I.jpg,745000,Universal,,universal,[],kit cerca eléctrica 100km mixta 120vac batería panel 10w,kit cerca eléctrico 100 km mixto 120vac bateer panel 10w,745000.0,81
MCO926890567,10 Und Depulsador Tactil Universal Para Lavadora Sansung LG ,http://http2.mlstatic.com/D_982356-MCO50936492027_072022-I.jpg,25000,Pulsador,,pulsador,[],10 und depulsador tactil universal lavadora sansung lg,10 und depulsador tactil universal lavadora sansung lg,25000.0,81
MCO1329214217,Datáfono Bold Neo - Recibe Todas Las Tarjetas +link,http://http2.mlstatic.com/D_937822-MCO74921324798_032024-I.jpg,42206,Bold,,bold,[],datáfono bold neo recibe todas tarjetas link,datáfonir bold neo recibir todo tarjeta link,42206.0,81
MCO1348248725,Alambre Para Resistencias Calibre 21 0.70mm Ferroniquel,http://http2.mlstatic.com/D_789843-MCO73867222072_012024-I.jpg,35000,RL,,rl,[],alambre resistencias calibre 21 0 70mm ferroniquel,alambre resistencia calibre 21 0 70 mm ferroniquel,35000.0,81
MCO1360854735,Fusible Para Impulsor De Cerca Eléctrica,http://http2.mlstatic.com/D_753064-MCO32557982992_102019-I.jpg,12300,TNT Electronics,,tnt electronics,[],fusible impulsor cerca eléctrica,fusible impulsor cerca eléctrico,12300.0,81
MCO1398961069,Termocupla Tipo J Tornillo 1/4 Npt,http://http2.mlstatic.com/D_967652-MCO40637679646_022020-I.jpg,17575,Sae,,sae,[],termocupla tipo j tornillo 1 4 npt,termocuplar tipo j tornillo 1 4 npt,17575.0,81
MCO1541585810,Aislador Para Cerca Eléctrica Pera Inicio Fin Ec  X 100 Pcs,http://http2.mlstatic.com/D_795282-MCO53751651496_022023-I.jpg,79000,Luxury,7707314156920,luxury,['7707314156920'],aislador cerca eléctrica pera inicio fin ec x 100 pcs,aislador cerca eléctrico pera inicio fin ec x 100 pcs,79000.0,81
MCO2378597882,Alambre Para Resistencias Calibre 19  0.90mm Ferroniquel,http://http2.mlstatic.com/D_963645-MCO73867615014_012024-I.jpg,35000,RL,,rl,[],alambre resistencias calibre 19 0 90mm ferroniquel,alambre resistencia calibre 19 0 90 mm ferroniquel,35000.0,81
MCO454042017,Planta Cerca Electrica 350km M. Jr,http://http2.mlstatic.com/D_648669-MCO74839097281_032024-I.jpg,390000,JR CERCA ELECTRICA,,jr cerca eléctrica,[],planta cerca electrica 350km m jr,plantar cerca electrico 350 km m jr,390000.0,81
MCO461044856,Hilo Alambre Esmaltado En Cobre Para Puente Yaxun,http://http2.mlstatic.com/D_713206-MCO77012162034_062024-I.jpg,7900,Ya Xun,,ya xun,[],hilo alambre esmaltado cobre puente yaxun,hilo alambre esmaltado cobre puente yaxun,7900.0,81
MCO526223608,Termómetro  Nevera Tm804 Con Certificado Calibración,http://http2.mlstatic.com/D_896446-MCO52896639142_122022-I.jpg,142405,Alla France,,alla france,[],termómetro nevera tm804 certificado calibración,termómetro nevera tm804 certificado calibración,142405.0,81
MCO538226646,Limpia Contactos Perfomax 250ml + Alcohol Isrplico 500ml,http://http2.mlstatic.com/D_741123-MLA51674823254_092022-I.jpg,30000,Skulltrap Electronics,,skulltrap electronics,[],limpia contactos perfomax 250ml alcohol isrplico 500ml,limpia contacto perfomax 250ml alcohol isrplico 500ml,30000.0,81
MCO544780338,"Varilla  Bañada En Cobre 1,20mts Con Conector X 1 Psc",http://http2.mlstatic.com/D_646503-MCO75983835221_042024-I.jpg,32000,Luxury,7707314156920,luxury,['7707314156920'],varilla bañada cobre 1 20mts conector x 1 psc,varilla bañado cobre 1 20mts conector x 1 psc,32000.0,81
MCO592262421,Varilla Polo Tierra Bañada Cobre 1.20m X 3unds + 1 Desviador,http://http2.mlstatic.com/D_662195-MCO79169614487_092024-O.jpg,110000,Luxury,,luxury,[],varilla polo tierra bañada cobre 1 20m x 3unds 1 desviador,varilla polo tierra bañado cobre 1 20 m x 3unds 1 desviador,110000.0,81
MCO601001032,Varilla Polo Tierra Bañada Cobre 1.20m X 2unds + 1 Desviador,http://http2.mlstatic.com/D_729846-MCO78763975578_092024-I.jpg,80000,Luxury,,luxury,[],varilla polo tierra bañada cobre 1 20m x 2unds 1 desviador,varilla polo tierra bañado cobre 1 20 m x 2unds 1 desviador,80000.0,81
MCO602671240,Interruptor Redondo Rojo On Off Cafetera 125v-250v 3pines,http://http2.mlstatic.com/D_629159-MCO79639455997_092024-I.jpg,5500,CQC,7702535011089,cqc,['7702535011089'],interruptor redondo rojo on off cafetera 125v 250v 3pines,interruptor redondo rojo on off cafetera 125v 250v 3pines,5500.0,81
MCO800642064,Flux Con Rma - Sin Plomo - Reballing 100% Original,http://http2.mlstatic.com/D_646259-MCO80843896506_122024-I.jpg,33900,Mechanic,,mechanic,[],flux rma sin plomo reballing 100 original,flux rma sin plomo reballing 100 original,33900.0,81
MCO800939442,Aislador Para Cerca Eléctrica Poste Varilla Lhaura X 50pcs,http://http2.mlstatic.com/D_905926-MCO31547545216_072019-I.jpg,55400,Lhaura,7707314156920,lhaura,['7707314156920'],aislador cerca eléctrica poste varilla lhaura x 50pcs,aislador cerca eléctrico poste varilla lhauro x 50pcs,55400.0,81
MCO887575314,Batería Lipo Turnigy 7.4 V 2s 1000mah 20c Nueva,http://http2.mlstatic.com/D_729732-MCO45128464567_032021-I.jpg,76710,Turnigy,7630049200050,turnigy,['7630049200050'],batería lipo turnigy 7 4 v 2s 1000mah 20c nueva,batería lipo turnigy 7 4 v 2s 1000mah 20c nuevo,76710.0,81
MCO918904957,Temporizador Timer Programable Digital Retie,http://http2.mlstatic.com/D_733903-MCO74393699022_022024-I.jpg,60900,Excelite,0716132009445,excelite,['0716132009445'],temporizador timer programable digital retie,temporizador timer programable digital retie,60900.0,81
MCO986704956,Swich Interuptor Para Lampara De Paso Blanco 2amp  ,http://http2.mlstatic.com/D_789701-MCO45734626853_042021-I.jpg,14990,Alpha,7707015333507,alpha,['7707015333507'],swich interuptor lampara paso blanco 2amp,swich interuptor lampara paso blanco 2amp,14990.0,81
MCO1141779019,Impulsor Para Cerca Eléctrica 200km Chásis,http://http2.mlstatic.com/D_858750-MCO74838848735_032024-I.jpg,237500,JR CERCA ELÉCTRICA,,jr cerca eléctrica,[],impulsor cerca eléctrica 200km chásis,impulsor cerca eléctrico 200 km chásis,237500.0,81
